_NAME_;_MODEL_;_SKU_
Ph Универсальное средство с дезинфицирующим эффектом, 5 л;13-2851;13-2851
Мыло туалетное Ароматное в ассортименте, 90 г, 90 штук;13-2870;13-2870
Мыло туалетное, ароматное, в ассортименте, 75 г, 99 штук;13-2871;13-2871
Антисептический гель для рук Секреты чистоты PRO кожный антисептик, туба, 60 г;13-2874;13-2874
Антисептический гель для рук Секреты чистоты PRO кожный антисептик, туба, 240 г;13-2875;13-2875
Средство для дезинфекции рук и поверхностей Trioclean Pro 0090  кожный антисептик (изопропанол 70%) 5 л;13-2884;13-2884
Ph Средство для чистки ковров и текстильных поверхностей, 5 литров;13-2903;13-2903
Диспенсер Palex для жидкого мыла и дезинфицирующего средства локтевой, 1л, пластик;13-2914;13-2914
Мобильная стойка для диспенсера;13-2922;13-2922
Салфетки дезинфицирующие Дезивайпс-И 6x10 см, 500 штук в пакете;13-2930;13-2930
Trioclean Pro 0090 Средство для дезинфекции рук и поверхностей (изопропанол 70%), 1л;13-2948;13-2948
Ph Средство для декальцинации, 750 мл;13-2961;13-2961
Trioclean Pro 0090 Средство для дезинфекции рук и поверхностей (изопропанол 70%), 100 мл;13-2962;13-2962
Диасептик-70 Кожный антисептик, 1 л;13-2970;13-2970
Диасептик-70 Кожный антисептик, 5 л;13-2971;13-2971
Ph Ополаскиватель для посуды в ПММ, 10 л;13-2978;13-2978
Ph Средство для мытья посуды в посудомоечной машине, 10 л;13-2979;13-2979
Высокоэффективный эко ополаскиватель для посуды Green Care PROFESSIONAL BRILLANT topKliks 5 л.;13-2996;13-2996
Средство для мытья стёкол Help Лимон 750 мл;13-3010;13-3010
Средство для мытья стёкол Mr. Muscle с нашатырным спиртом 500 мл;13-3011;13-3011
Средство для мытья стёкол Help 500 мл;13-3015;13-3015
Средство для мытья стёкол Help сменный блок 500 мл;13-3016;13-3016
Ph Средство дезинфицирующее 1 литр, 6 штук;13-3017;13-3017
Средство для мытья стёкол Help, 5 л;13-3020;13-3020
Средство для мытья стёкол Help Свежий озон 750 мл;13-3027;13-3027
Средство для мытья стёкол Help Свежий озон 750 мл;13-3028;13-3028
Средство для мытья стёкол Золушка Чистые окна с нашатырным спиртом 500 мл;13-3030;13-3030
Ph Средство дезинфицирующее, 5 литров;13-3034;13-3034
Ph Кожный антисептик, 5л;13-3036;13-3036
Tana PRORAX Средство для прочистки труб 1000 мл, 6 штук;13-3037;13-3037
Эко средство для уборки на кухне green care Professional GREASE off с системой дозирования Quick & Easy, 325 мл, 6 штук;13-3052;13-3052
Ph Кожный антисептик, 750 мл;13-3055;13-3055
Дезинфицирующее средство Белизна-гель, 1 литр, 15 штук;13-3058;13-3058
BFR peroxyfilm Индикатор для определения биопленок 750мл *9;13-3067;13-3067
Spell Средство для дезинфекции ванной комнаты 500мл *6;13-3082;13-3082
Spell Средство для дезинфекции кухни 500 мл;13-3083;13-3083
Spell Средство для удаления плесени, очистки и дезинфекции 500мл *6;13-3084;13-3084
Spell Средство для дезинфекции и мытья полов 1л *6;13-3085;13-3085
Ph Средство дезинфицирующее, кожный антисептик, 750 мл, 6 штук;13-3103;13-3103
Ph Средство дезинфицирующее, кожный антисептик, 1 литр, 6 штук;13-3104;13-3104
Ph Средство дезинфицирующее, кожный антисептик, 5 литров;13-3105;13-3105
Средство для мытья посуды Aqualon Нейтральное 5 л;13-3131;13-3131
Средство для мытья посуды концентрированное Aqualon Нейтральное 5 л;13-3132;13-3132
Жидкое крем-мыло Кремона Нейтральное 5 л;13-3133;13-3133
Ph Antisticker Средство для удаления следов скотча, этикеток, жевательной резинки 600 мл, 12 штук;13-3135;13-3135
Ph Laundry Basic Средство для стирки, 20 литров;13-3136;13-3136
Ph Laundry Power Solve Усилитель стирки с растворителями, 20 литров;13-3137;13-3137
Ph Laundry Power Enzy Усилитель стирки с энзимами, 20 литров;13-3138;13-3138
Ph Кислородный пятновыводитель, 600 мл;13-3139;13-3139
Ph Laundry Oxy Средство на основе активного кислорода, 20 литров;13-3142;13-3142
Ph Promline AL 01 Средство для уборки на пищевых производствах, 10 литров;13-3160;13-3160
Ph НУК 15 Средство дезинфицирующее с надуксусной кислотой, 10 литров;13-3161;13-3161
Ph Жироудалитель, Средство для удаления жира, 600 мл, 12 штук;13-3175;13-3175
Ph ЭКСПЕРТ для ванной, Средство для чистки сантехники, 600 мл, 12 штук;13-3176;13-3176
Люминометр System SURE Plus;13-3192;13-3192
Тест для определения АТФ в жидкости AquaSnap Total, 100 штук;13-3193;13-3193
Ph Coffee Clean Средство для очистки кофемашин, 1 литр, 9 штук;13-3222;13-3222
Порошок чистящий Mr. Proper 400 г *22;13-3657;13-3657
Средство для смягчения воды Calgon 1,1 кг *8;13-4002;13-4002
Порошок для посудомоечной машины Finish Calgonit 1 кг;13-4006;13-4006
Ополаскиватель для посудомоечной машины Somat 750 мл;13-4015;13-4015
Пятновыводитель для ковров и обивки мебели Vanish OXI Action 500 мл;13-5008;13-5008
Универсальное моющее средство Золушка Хвоя, 5 л;13-5010;13-5010
Средство для чистки и обновления кожаных изделий Bagi Супер Кожа 400 мл *12;13-5892;13-5892
Средство для мытья полов Bagi Оранит 550 мл, 12 штук;13-5893;13-5893
Концентрированное средство для мытья полов Help, 5 кг;13-5894;13-5894
Стиральный порошок Ariel Color автомат 3 кг;13-6004;13-6004
Стиральный порошок Ariel Color & Style автомат 9 кг;13-6012;13-6012
Стиральный порошок Dosia автомат 400 г;13-6017;13-6017
Стиральный порошок для ручной стирки Dosia 365 г;13-6020;13-6020
Стиральный порошок для ручной стирки Миф 400 г;13-6023;13-6023
Стиральный порошок для ручной стирки Пемос 350 г;13-6029;13-6029
Стиральный порошок Persil Color автомат 9 кг;13-6032;13-6032
Стиральный порошок Tide Альпийская свежесть автомат 3 кг;13-6037;13-6037
Стиральный порошок Tide Альпийская свежесть автомат 6 кг;13-6038;13-6038
Стиральный порошок Tide Альпийская свежесть автомат 9 кг;13-6039;13-6039
Стиральный порошок для ручной стирки Миф 900 г;13-6047;13-6047
Жидкое средство для стирки Ласка Восстановление цвета 1 л;13-6056;13-6056
Стиральный порошок Persil для белого белья автомат 9 кг;13-6070;13-6070
Стиральный порошок Лотос универсальный 450 г;13-6073;13-6073
Средство для прочистки труб Крот-Трубочист Стерил 1 л;13-7007;13-7007
Универсальное чистящее средство Domestos Лимон 500 мл;13-7008;13-7008
Средство для удаления накипи Золушка Антинакипин порошок 100 г;13-7010;13-7010
Средство для прочистки труб от засоров Bagi Потхан 600 г;13-7022;13-7022
Средство для прочистки труб Deboucher 1 л;13-7035;13-7035
Порошок чистящий Comet 475 г банка;13-7044;13-7044
Гель для прочистки труб Крот-Трубочист Стерил концентрированный 1 л;13-7049;13-7049
Чистящая паста для сантехники с щавелевой кислотой Monica, 450 г;13-7050;13-7050
"""Пронто"" Полироль для мебели аэрозоль *12";13-7053;13-7053
Порошок чистящий Пемоксоль в банке 400 / 450 г;13-7054;13-7054
Средство для удаления налета и ржачины Sanita гель Антиржавчина 500 мл *21;13-7061;13-7061
Чистящее средство для сантехники Санокс 750 мл;13-7066;13-7066
Универсальный чистящий гель Sanfor Universal 10-в-1 750 мл *15;13-7070;13-7070
Чистящее средство для удаления налета и ржавчины Cillit Magic 450 мл;13-7073;13-7073
Универсальный чистящий крем Cif 500 мл;13-7076;13-7076
Средство для чистки изделий из нержавеющей стали Help, 500 мл;13-7094;13-7094
"Порошок чистящий ""Чистин"" 400 г";13-7098;13-7098
Средство для удаления накипи Золушка Антинакипин жидкий 250 мл;13-7109;13-7109
Универсальное жидкое моющее средство Санитарный (Щекиноазот) 1 л;13-7120;13-7120
Порошок чистящий с отбеливателем Mr. Proper 400 г;13-7132;13-7132
Средство для мытья пола Золушка 500 мл;13-7158;13-7158
Универсальное моющее средство Прогресс ПЭТ 5 л;13-7177;13-7177
Жидкое хозяйственное мыло Золушка 5 л универсальное;13-7190;13-7190
Щелочное средство для удаления копоти и нагара TANA Nowa Rhe 720, 10 л *1;13-7246;13-7246
Стикер для очищения унитаза Domestos Attax 3?10 г;13-7268;13-7268
Очиститель для изделий из нержавеющей стали и цветных металлов TANA Inoxol clean, 1 л;13-7583;13-7583
Кондиционер для белья Help 750 мл;13-8008;13-8008
Кондиционер для белья Lenor концентрированный 1 л;13-8012;13-8012
Средство для дезинфекции САНФОР Белизна 3 в 1, 700 мл, 15 штук;13-8021;13-8021
Дезинфицирующее средство TANA Apesin combi DR, 5 литров;13-8586;13-8586
Гель для уничтожения тараканов Дохлокс 20 мл *48;13-9003;13-9003
Мыло туалетное ММЗ в ассортименте 75 г;13-9056;13-9056
Моющее средство для посудомоечных машин TANA Energy classic для мягкой и средней жесткости воды, 5 литров;13-9593;13-9593
Книга учета, А4, 96 листов, клетка, бум винил, офсетный бумага;14-0035;14-0035
Книга учета, А4, 96 листов, линейка, картон, газетная бумага;14-0040;14-0040
Личная карточка Т-2 А3, в пленке т/у, 50 штук в упаковке;14-0048;14-0048
Накладная самокопирующаяся 3-х слойная, 14 строк, А5, 50 экземпляров;14-0053;14-0053
Приходный кассовый ордер, А5, 100 листов, газетная бумага;14-0057;14-0057
Журнал учета проверок юридических лиц и индивидуальных предпренимателей, А4, 50 листов, спираль;14-0085;14-0085
Клейкая лента Scotch двусторонняя 12 мм х 6,3 м в диспенсере;14-0157;14-0157
Аккумулятор GP 2700 mAh AA/HR6 NiMH 2 штуки в упаковке;14-0158;14-0158
Аккумулятор GP 1000 mAh AAA/HR03 NiMH 2шт/уп;14-0186;14-0186
Информационный стенд настенный Информация А4/А5 пластиковый белый/синий 4 отделения;14-0204;14-0204
Подвесная папка Esselte Pendaflex Standart, А4, синяя;14-0239;14-0239
Штамп стандартный Colop Printer C20 1.1 Получено;14-0259;14-0259
Перманентный маркер BiC Marking 2000 чёрный пулевидный;14-0270;14-0270
Маркер для белых досок BiC Velleda чёрный пулевидный;14-0296;14-0296
Маркер для белых досок BiC Velleda синий пулевидный;14-0314;14-0314
Подушка штемпельная сменная E/20 синяя для PRINTER 20,  C20, 20 SET, C20 SET, С20/3 SET;14-0336;14-0336
Маркер для белых досок BiC Velleda зелёный пулевидный;14-0349;14-0349
Файл с перфорацией Berlingo А4, 60 мкм, рельефный, 100 штук в упаковке;14-0360;14-0360
Маркер для белых досок BiC Velleda красный пулевидный;14-0382;14-0382
Папка-регистратор Leitz L-1010, 80 мм, А4, красная, вертикальная;14-0385;14-0385
Демосистема настольная вращающаяся Mega Office 10 панелей черная;14-0400;14-0400
Накладная самокопирующаяся 2-х слойная, А5, 50 листов;14-0426;14-0426
Накладная 21 строка, А5, 100 листов, газетная бумага;14-0427;14-0427
Ресторанный счет 1/3 А4 самокопирующийся, 2-х слойный, 2х50 листов;14-0430;14-0430
Клей Момент - 1, универсал, 30 мл;14-0438;14-0438
Бейдж держатель с рулеткой Durable (без бейджа), 10 штук;14-0458;14-0458
Батарейка GP Super Крона 9V 6LR61, 1 штука в блистере;14-0467;14-0467
Ручка шариковая BiС Orange, синяя, 0,35 мм, оранжевый корпус;14-0478;14-0478
Алфавитная книжка БАЛАКРОН, тиснение, синий, 148х210;14-0511;14-0511
Демосистема настольная Mega Office черная 10 панелей пластик;14-0595;14-0595
Скрепочница магнитная открытая пластиковая;14-0635;14-0635
Лоток вертикальный СТАММ Фаворит, 90 мм, лайм;14-0650;14-0650
Лоток вертикальный СТАММ Фаворит, 90 мм, темно-красный;14-0652;14-0652
Лоток вертикальный СТАММ Фаворит, 90 мм, фиолетовый;14-0653;14-0653
Демосистема настенная ProMega Office черная 10 панелей с табуляторами;14-0660;14-0660
Демосистема настольная Mega Office белая А5 10 панелей пластик;14-0663;14-0663
Маркер перманентный Edding, зелёный, пулевидный, 1,5-3 мм, Е-300;14-0664;14-0664
Демосистема настенная ProMega Office серая 10 панелей с табуляторами;14-0688;14-0688
Ручка капиллярная Stabilo синяя, 0,4 мм;14-0729;14-0729
"Папка-обложка ""Дело"", А4, 380 г/м2, белая, мелованный картон";14-0801;14-0801
Ручка шариковая автоматическая Pentel, 0,3 мм, с резиновой манжетой, синяя;14-0846;14-0846
Бумага А4 Color Copy, 300 г/кв.м, 125 листов в пачке, 5 пачек;14-0861;14-0861
Подушка штемпельная настольная Colop MICRO 3 синяя 90х160 мм;14-0895;14-0895
Ручка капиллярная Stabilo черная, 0,4 мм;14-0899;14-0899
Карандаш механический BIC, 0,5 мм;14-0915;14-0915
Датер автоматический Colop Printer 55 Dater Bank Set самонаборный 60х40 мм 6 строк касса А/В;14-0926;14-0926
Ручка гелевая Pilot BL-FRP5 , синяя, мaнжетка, 0,25 мм;14-0932;14-0932
Подушка штемпельная сменная E/R40 синяя для PRINTER R40, R40 SET, R40 DATER;14-0938;14-0938
Люверсы KW-Trio золотистые  d=4,8мм  250 штук в упаковке;14-0939;14-0939
Калькулятор Citizen SDC-444S 12-разрядный чёрный;14-0940;14-0940
Вертикальный накопитель сортер СТАММ сборный 4 отделения чёрный;14-0946;14-0946
Маркер меловой для окон, смываемый Edding Е-4095, белый, пулевидный 2-3 мм;14-0988;14-0988
"Папка архивная на завязках ""Дело"", А4, 70 мм, Форма 21";14-0995;14-0995
Блок бумажный, 90х90х90 мм, белый, пластиковый стакан, 12 штук в коробке;14-1008;14-1008
Закладки Post-it 3М, 4 цвета, 683-4 узкая;14-1011;14-1011
Папка на 4-х кольцах Berlingo Diamond, А4, 40 мм, 700 мкм, синяя;14-1037;14-1037
Ручка шариковая автоматическая Pilot BPRG-10R-F Rex Grip, синяя, манжетка, 0,32 мм, масляная;14-1076;14-1076
Датер ручной Colop 05000  месяц  буквами 5 мм;14-1089;14-1089
Маркер меловой Posmarker, белый, на водной основе, 2-5 мм;14-1093;14-1093
Файл с перфорацией А4, 100 мкм, глянцевый, 50 штук в упаковке;14-1096;14-1096
Клей Момент Супер, 3 г;14-1102;14-1102
Флипчарт магнитно-маркерный Nobo Classic 754х690х1900 мм, лаковое покрытие, с полочкой, на роликах;14-1128;14-1128
Папка-регистратор Leitz 180° А4, 80 мм, желтый;14-1131;14-1131
Папка-регистратор Leitz 180° А4, 80 мм, оранжевый;14-1132;14-1132
Папка-регистратор Leitz 180° А4, 80 мм, зелёный;14-1134;14-1134
Подставка для бумажного блока 90х90х90 мм, прозрачная;14-1137;14-1137
Закладки клейкие, пластиковые, 25х45 мм, 25 листов, желтые;14-1156;14-1156
Подставка настольная акриловая 210х80 мм;14-1166;14-1166
Папка-регистратор Leitz 180° А4, 80 мм, фиолетовый;14-1205;14-1205
Папка-регистратор Leitz 180° Active WOW, А4, 82 мм, зелёный;14-1225;14-1225
Папка-уголок А4, 180 мкм, красная;14-1239;14-1239
Папка-уголок Berlingo, А4, 180 мкм, прозрачная, синяя, 20 штук;14-1240;14-1240
Демосистема настенная ProMega Office серая 10 панелей металлическая;14-1252;14-1252
Краска штемпельная Colop 801 черная на водно-глицериновой основе 25 мл;14-1266;14-1266
Папка-регистратор Leitz 180° Active WOW А4, 82 мм, розовый;14-1272;14-1272
Папка-регистратор Leitz 180° Active WOW А4, 82 мм, фиолетовый;14-1274;14-1274
Папка-регистратор Leitz 180° WOW А4, 80 мм, розовый;14-1289;14-1289
Папка-регистратор Leitz 180° WOW А4, 80 мм, синий;14-1290;14-1290
Конверт Е65 (110х220 мм) с отрывной полосой;14-1302;14-1302
Конверт С4 (229х324 мм) с отрывной полосой, 500 шт. в упаковке;14-1309;14-1309
Конверт, С5 (162х229 мм) с отрывной полосой;14-1312;14-1312
Конверт для CD-дисков (125х125 мм) 25 штук в упаковке;14-1319;14-1319
Конверт, С4 (229х324 мм) с полями для заполнения и отрывной полосой;14-1321;14-1321
"Конверт Е65 (110х220 мм) ""Куда-Кому"", синяя запечатка, отрывная полоса";14-1323;14-1323
Подушка штемпельная настольная Colop MICRO 1 синяя 50х90 мм;14-1332;14-1332
Разделитель листов 105x240 мм, пластиковый, 12 листов, 4 цвета;14-1340;14-1340
Набор текстовыделителей Edding Eco E-24/4S, 1-5 мм, 4 шт/уп;14-1354;14-1354
Тетрадь А5, 48 листов, на скрепке, клетка, обложка бумвинил;14-1356;14-1356
Блок самоклеящийся Post-it Basic, 125х75 мм, 100 листов, канареечно-желтый;14-1384;14-1384
Маркер меловой на водной основе Edding, синий, клиновидный, 4-15 мм, Е-4090/003;14-1393;14-1393
Разделители листов цветные, 12 листов, A4, 18 штук в упаковке;14-1438;14-1438
Нумератор ручной Colop 05006 6-разрядный;14-1452;14-1452
Бумага А4 IQ Color, 80 г/кв.м, желтый неон, 500 листов в пачке;14-1454;14-1454
Блок бумажный, 90х90х90 мм, белый, в термопленке;14-1457;14-1457
Блок бумажный, 90х90х90 мм, белый, в подставке;14-1458;14-1458
Блок самоклеящийся 76х51 мм, пастельно-желтый, 100 листов;14-1460;14-1460
Блок для записей самоклеющийся, 75х75 мм, желтый, 100 листов в блоке;14-1461;14-1461
Блок самоклеящийся 76х76 мм, пастельно-желтый, 400 листов;14-1462;14-1462
Дырокол на 2 отверстия до 30 листов металлический корпус с линейкой ассорти;14-1465;14-1465
Дырокол на 2 отверстия до 10 листов металлический корпус ассорти;14-1466;14-1466
Зажим для бумаг, 15 мм, чёрный;14-1467;14-1467
Зажим для бумаг, 19 мм, чёрный;14-1468;14-1468
Зажим для бумаг, 25 мм, чёрный;14-1469;14-1469
Зажим для бумаг, 32 мм, чёрный;14-1470;14-1470
Зажим для бумаг, 41 мм, чёрный, 12 штук в упаковке;14-1471;14-1471
Клейкая лента прозрачная 12 мм х 6 м;14-1473;14-1473
Корректирующая жидкость, 20 мл, на спиртовой основе;14-1474;14-1474
Корректирующая лента, 5 мм х 5 м;14-1475;14-1475
Роллер корректирующий 5 мм х 8 м, 12 штук;14-1476;14-1476
Кнопки канцелярские 100 штук в упаковке, 10 упаковок в коробке;14-1478;14-1478
Нож канцелярский 9 мм с фиксатором ассорти;14-1479;14-1479
Нож канцелярский 18 мм, с фиксатором, цвет в ассортименте;14-1480;14-1480
Скрепки канцелярские 25 мм, цветные, 100 штук;14-1482;14-1482
Скрепки никелированные, 50 мм, 50 штук;14-1483;14-1483
Скрепки оцинкованные, 50 мм, 50 штук;14-1484;14-1484
Антистеплер, чёрный;14-1485;14-1485
Степлер, мощный, на 100 листов;14-1486;14-1486
Ручка гелевая синяя, 0,5 мм;14-1490;14-1490
Ручка шариковая синяя, 0,7 мм, прозрачный корпус;14-1493;14-1493
Ручка шариковая синяя, 0,8 мм;14-1494;14-1494
Линейка Uniplast 20 см цветная флуорисцентная;14-1502;14-1502
Линейка Uniplast 20 см черная;14-1503;14-1503
Папка-скоросшиватель А4, 120 мкм, синяя, 25 штук в упаковке;14-1522;14-1522
Степлер № 24/6 до 25 листов, синий, металлический корпус;14-1559;14-1559
Степлер №24/6, пластиковый корпус, до 25 листов;14-1560;14-1560
Степлер № 10, до 10 листов, пластик, цвет ассорти;14-1563;14-1563
Подставка настольная акриловая 300х100 мм;14-1569;14-1569
Демосистема настольная вращающаяся Mega Office 10 панелей цветные;14-1576;14-1576
Линейка 30 см стальная;14-1577;14-1577
Маркер перманентный P-11, чёрный, 2,5 мм;14-1578;14-1578
Маркер перманентный P-11, синий, 2,5 мм;14-1579;14-1579
Маркер перманентный P-11, красный, 2,5 мм;14-1580;14-1580
Папка А4 с прижимным механизмом, 0,4 мм, ассорти, 30 штук;14-1591;14-1591
Настольный набор Минидеск с вращающейся подставкой 11 предметов чёрный;14-1617;14-1617
Степлер 24/6, 26/6 Maped Ergologic, до 25 листов, пластиковый корпус, черно-синий, на 100 скоб;14-1655;14-1655
Маркер перманентный, зелёный, пулевидный, 2,5-3,5 мм, P-11;14-1659;14-1659
Зажим для бумаг, 51 мм, чёрный;14-1660;14-1660
Бейдж 90х55 мм горизонтальный с зажимом и булавкой;14-1678;14-1678
Бумага А4 Color Copy, 120 г/кв.м, 250 листов в пачке, 7 пачек;14-1693;14-1693
Маркер перманентный Centropen, зелёный, пулевидный, 2,5 мм;14-1706;14-1706
Маркер Centropen красный 2,5 мм, перманентный;14-1707;14-1707
"Маркер перманентный Centropen ""8566"", синий, пулевидный, 2,5 мм";14-1708;14-1708
Маркер перманентный Edding Е-300, чёрный, 1,5-3 мм;14-1710;14-1710
Маркер перманентный Edding Е-370, чёрный, 1 мм;14-1711;14-1711
Маркер для глянцевых поверхностей Edding Е-140 S, чёрный, круглый, 0,3 мм;14-1722;14-1722
Набор маркеров для флипчарта Edding E-380, 4 цвета;14-1725;14-1725
Маркер меловой на водной основе Edding, чёрный, клиновидный, 4-15 мм, Е-4090/001 *5;14-1726;14-1726
Набор маркеров для флипчарта Centropen, 2,5 мм, 4 цвета в упаковке, круглый наконечник;14-1729;14-1729
Маркер для окон Edding Е-4090/0049, белый, 4-15 мм;14-1740;14-1740
Маркер меловой Edding Е-4090/002, красный, на водной основе, клиновидный, 4-15 мм;14-1743;14-1743
Маркер для промышленной графики Edding, белый, круглый, 2-4 мм, E-8750/49;14-1751;14-1751
Маркер перманентный для CD/DVD Berlingo красный, 0,5 мм;14-1752;14-1752
Линейка Uniplast 30 см цветная флуорисцентная;14-1762;14-1762
Линейка Uniplast 30 см черная;14-1763;14-1763
Линейка Uniplast 30 см прозрачная;14-1764;14-1764
Маркер для досок Edding, зелёный, 1,5-3 мм, Е-360/4;14-1770;14-1770
Лоток горизонтальный Uniplast Офис-класс, чёрный;14-1773;14-1773
Планшет с зажимом «OFFICE LINE», А4, пластик, чёрный, 45 шт. в упаковке;14-1777;14-1777
Планшет с зажимом, А4, пластик, синий, 45 штук;14-1778;14-1778
Файл с перфорацией «OFFICE LINE», А4, 30 мкм, 100 шт. в упаковке;14-1782;14-1782
Файл с перфорацией «OFFICE LINE», А4, 40 мкм, 100 шт. в упаковке, 20 упаковок в коробке;14-1783;14-1783
Папка-скоросшиватель А4, 120 мкм, красная, 25 штук в упаковке;14-1788;14-1788
Папка-скоросшиватель, А4, черная, 25 шт. в упаковке;14-1789;14-1789
Папка-скоросшиватель А4, 120 мкм, желтая, 25 штук;14-1790;14-1790
Лоток вертикальный Uniplast УНИ-85, 90 мм, чёрный;14-1791;14-1791
Лоток для бумаг Uniplast «УНИ-65», вертикальный, 7 см, чёрный, 20 шт. в коробке;14-1795;14-1795
Запасные лезвия для канцелярских ножей 18 мм 10 штук в упаковке;14-1829;14-1829
Запасные лезвия для канцелярских ножей 9 мм 10 штук в упаковке;14-1830;14-1830
Линейка Uniplast 40 см цветная флуорисцентная;14-1832;14-1832
Степлер №24/6, до 25 листов, пластиковый корпус;14-1835;14-1835
Подставка настольная и настенная Лидер А4 акриловая 290х228х26 мм;14-1851;14-1851
Кнопки канцелярские силовые, 11 мм, 50 штук;14-1854;14-1854
Ножницы, 203 мм, с пластиковыми, эллиптическими, оранжевыми ручками;14-1863;14-1863
Лоток вертикальный Uniplast Офис-класс, 100 мм, чёрный;14-1868;14-1868
Закладки клейкие, пластиковые, 12х45 мм, 5 цветов, 125 закладок в диспенсере (Z-образная подача);14-1875;14-1875
Клей моментальный Монолит, 3 г;14-1886;14-1886
"Папка-обложка ""Дело"", А4, 360 г/м2, белая, немелованный картон";14-1893;14-1893
Карандаш механический «Pilot H-185», 0,5 мм, с ластиком и манжетой, 12 шт. в упаковке;14-1896;14-1896
Ручка гелевая Pilot BL-G1-5T, синяя, 0,3 мм, прозрачный корпус;14-1900;14-1900
Маркер перманентный Edding, синий, пулевидный, 1,5-3 мм, Е-300;14-1974;14-1974
Блокнот А5, 60 листов, на пружине, в ассортименте;14-2018;14-2018
Лоток горизонтальный Uniplast Престиж, чёрный;14-2035;14-2035
Лоток горизонтальный Uniplast Престиж, прозрачный;14-2036;14-2036
Лоток вертикальный Uniplast Офис-класс, 100 мм, серый;14-2051;14-2051
Подвесная папка ESSELTE PENDAFLEX PLUS FOOLSCAP, синяя;14-2063;14-2063
Папка подвесная Esselte Pendaflex Plus Foolscap, красная;14-2064;14-2064
Разделители листов цветные, 20 листов, А4, картон, 10 штук в упаковке;14-2072;14-2072
Степлер №24/6, 26/6 Maped Greenlogic, до 25 листов, пластиковый корпус, чёрный, на 100 скоб;14-2081;14-2081
Ножницы Maped 170 мм с пластиковыми ручками черного цвета;14-2082;14-2082
Маркер для промышленной графики Edding, красный, круглый, 2-4 мм, E-8750/2 *10;14-2094;14-2094
Папка с завязками, А4, 260 г/м2, белая, немелованный картон;14-2104;14-2104
Короб «Делопроизводство», 480х325х295 мм;14-2120;14-2120
Папка с завязками, А4, 380 г/м2, белая, мелованный картон, 150 штук;14-2121;14-2121
Этикетки самоклеящиеся 64,6х33,8 мм 24 штуки на листе А4 100 листов в упаковке;14-2132;14-2132
Конверт, С6 (114х162 мм) 80 г/кв.м, отрывная силиконовая лента, серая запечатка;14-2142;14-2142
Пакет для писем, В4, 250х353х40 мм, 130 г/кв.м, отрывная силиконовая лента, крафт;14-2144;14-2144
Ластик Koh-i-Noor, 300/40, 35х25х7 мм;14-2151;14-2151
Блок для записей самоклеющийся, 76х76 мм, 100 листов, голубой;14-2160;14-2160
Точилка для карандашей, металл, облегченный сплав;14-2162;14-2162
Лента для бейджа с зажимом ширина 9 мм длина 88 см красная;14-2196;14-2196
Маркер лаковый MunHwa, красный, 4 мм, нитро краска, 12 штук;14-2198;14-2198
Папка на резинках, А4, без корешка, пластик;14-2202;14-2202
Папка-конверт на кнопке А4, пластик, 12 штук;14-2204;14-2204
Папка-конверт на молнии А5, 12 штук в упаковке;14-2206;14-2206
Скобы №24/6, 1000 штук в упаковке;14-2211;14-2211
Калькулятор настольный UNIEL UD-68 12-разрядный бухгалтерский;14-2224;14-2224
Папка-регистратор Tiralana, 75 мм, чёрный мрамор, без металлической окантовки;14-2226;14-2226
Датер ручной Colop 04000 Bank месяц  цифрами 4 мм;14-2233;14-2233
Блок бумажный «ТЕТРАПРОМ», 90х90х50 мм, белый, вакуумная упаковка;14-2234;14-2234
Ежедневник А5, недатированный, 128 листов, обложка бумвинил, синий *24;14-2235;14-2235
Печать самонаборная круглая Colop Stamp Mouse R40/2 Set касса А;14-2248;14-2248
Папка архивная бумвинил, А4, 5 см, 4 завязки;14-2259;14-2259
Клей силикатный 110 г, с дозатором;14-2261;14-2261
Мини-нумератор Colop S126 6-разрядный;14-2281;14-2281
Набор карандашей «Kores», 12 цветов, шестигранные, с точилкой, 12 упаковок в коробке;14-2282;14-2282
Блок самоклеящийся 125х75 мм,  желтый неон, 100 листов, Post-it Super Sticky;14-2293;14-2293
Блок для записей самоклеящийся 38х51 мм, пастельно-розовый, 3 блока по 100 листов, в упаковке 12 штук;14-2360;14-2360
Файл с перфорацией А5, 35 мкм, 100 шт/уп;14-2429;14-2429
Текстовыделитель H-4, оранжевый, 1-4 мм;14-2463;14-2463
Настольный канцелярский набор, 14 предметов, чёрный, вращающийся;14-2477;14-2477
Тетрадь А4, 96 листов, на скрепке, обложка ВД-лак, 55 г/кв.м;14-2484;14-2484
Блокнот А7, 40 листов, на гребне, обложка УФ-лак;14-2487;14-2487
Папка-регистратор Tiralana, 75 мм, чёрный мрамор, с металлической окантовкой;14-2488;14-2488
Блокнот А5, 50 листов, на гребне, обложка ВД-лак, ассорти;14-2493;14-2493
Краска штемпельная синяя на водной основе с дозатором 50 мл;14-2495;14-2495
Папка-регистратор Tiralana, 50 мм, чёрный мрамор, без металлической окантовки;14-2496;14-2496
Тетрадь А5 «ТЕТРАПРОМ», 96 листов, офсет, на скрепке;14-2497;14-2497
Папка-регистратор 75 мм, красная, офсет, c металлической окантовкой;14-2500;14-2500
"Папка-скоросшиватель ""Дело"", 260 г/м2, белая, немелованный картон";14-2504;14-2504
Папка-регистратор 75 мм, зеленая, офсет, металлическая окантовка;14-2507;14-2507
Папка-скоросшиватель «Дело», мелованный картон 280 г/кв.м;14-2508;14-2508
